identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
16950A;FLEURY MEROGIS BP;Bureau de poste;CENTRE COMMERCIAL;;;91700;91;FLEURY MEROGIS;FRANCE;48.638997, 2.362391;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
16955A;IGNY GOMMONVILLIERS BP;Bureau de poste;1 RUE JULES FERRY;;;91430;91;IGNY;FRANCE;48.732396, 2.227497;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui
16962A;LONGJUMEAU;Bureau de poste;9 RUE DE L HOTEL DES POSTES;;;91160;91;LONGJUMEAU;FRANCE;48.693393, 2.295467;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
16966A;MASSY OPERA;Bureau de poste;PLACE DE FRANCE;;;91300;91;MASSY;FRANCE;48.7325, 2.28981;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
16968A;MEREVILLE BP;Bureau de poste;5 RUE MAURICE BERTEAUX;;;91660;91;MEREVILLE;FRANCE;48.316482, 2.087985;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16974A;MORIGNY CHAMPIGNY AP;Agence postale;8 RUE DE LA MAIRIE;;;91150;91;MORIGNY CHAMPIGNY;FRANCE;48.447878, 2.181822;Géocodé au numéro;164940700;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16978A;PALAISEAU;Bureau de poste;8 RUE CARNOT;;;91120;91;PALAISEAU;FRANCE;48.712295, 2.24574;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
16995A;SAVIGNY SUR ORGE;Bureau de poste;46 AVENUE CHARLES DE GAULLE;;;91600;91;SAVIGNY SUR ORGE;FRANCE;48.679099, 2.345877;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
16998A;VERRIERES LE BUISSON;Bureau de poste;22 RUE DE PARON;;;91370;91;VERRIERES LE BUISSON;FRANCE;48.745999, 2.268827;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17002A;VIGNEUX SUR SEINE;Bureau de poste;10 PLACE DU 8 MAI 1945;;;91270;91;VIGNEUX SUR SEINE;FRANCE;48.703297, 2.427987;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17012A;EVRY VILLAGE BP;Bureau de poste;PLACE DU GENERAL DE GAULLE;;;91000;91;EVRY;FRANCE;48.636099, 2.446748;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
17013A;EVRY PARC AUX LIEVRES BP;Bureau de poste;7 PLACE DU PARC AUX LIEVRES;;;91000;91;EVRY;FRANCE;48.627396, 2.448316;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17026A;ATHIS MONS APC DU VAL AP;Agence postale;105 AVENUE DU 18 AVRIL;;;91200;91;ATHIS MONS;FRANCE;48.702297, 2.38692;Géocodé au numéro;169384703;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17035A;VIRY CHATILLON PLATEAU BP;Bureau de poste;12 AVENUE JEAN BAPTISTE LEBAS;;;91170;91;VIRY CHATILLON;FRANCE;48.660093, 2.36468;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non
17038A;VIRY CHATILLON PROVENCE BP;Bureau de poste;25 AVENUE DE PROVENCE;;;91170;91;VIRY CHATILLON;FRANCE;48.668193, 2.361401;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
17039A;RIS ORANGIS ALBERT REMY BP;Bureau de poste;50 RUE EDMOND BONTE;;;91130;91;RIS ORANGIS;FRANCE;48.656694, 2.40967;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non
17042A;IGNY BOURG BP;Bureau de poste;1 RUE DU BAS IGNY;;;91430;91;IGNY;FRANCE;48.744897, 2.226289;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
17044A;SAVIGNY SUR ORGE GRAND VAUX BP;Bureau de poste;CENTRE COMMERCIAL DE GRAND VAUX;;;91600;91;SAVIGNY SUR ORGE;FRANCE;48.674191, 2.339348;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17054A;GRIGNY LA GRANDE BORNE BP;Bureau de poste;17 PLACE AUX HERBES;;;91350;91;GRIGNY;FRANCE;48.653997, 2.372967;Géocodé au milieu de la rue;3631;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17058A;YERRES MOLIERE BP;Bureau de poste;45 RUE MOLIERE;;;91330;91;YERRES;FRANCE;48.696394, 2.481799;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
17060A;BOUSSY SAINT ANTOINE BP;Bureau de poste;CENTRE COMMERCIAL LA FERME;;;91800;91;BOUSSY ST ANTOINE;FRANCE;48.690494, 2.528635;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17065A;BAGNEUX;Bureau de poste;2 AVENUE HENRI BARBUSSE;;;92220;92;BAGNEUX;FRANCE;48.797795, 2.307955;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17068A;BOURG LA REINE;Bureau de poste;79 AVENUE DU GENERAL LECLERC;;;92340;92;BOURG LA REINE;FRANCE;48.781295, 2.316369;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17090A;LE PLESSIS ROBINSON;Bureau de poste;8 GRANDE RUE;ZAC COEUR DE VILLE;;92350;92;LE PLESSIS ROBINSON;FRANCE;48.780896, 2.262348;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17091A;PUTEAUX HOTEL DE VILLE;Bureau de poste;135 RUE DE LA REPUBLIQUE;;;92800;92;PUTEAUX;FRANCE;48.884298, 2.237288;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
17098A;VAUCRESSON BP;Bureau de poste;AVENUE JEAN SALMON LEGAGNEUR;;;92420;92;VAUCRESSON;FRANCE;48.838697, 2.154308;Géocodé au numéro;3631;Non;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17100A;VILLENEUVE LA GARENNE;Bureau de poste;1 AVENUE JEAN MOULIN;;;92390;92;VILLENEUVE LA GARENNE;FRANCE;48.937696, 2.33164;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17105A;NANTERRE ALOUETTES BP;Bureau de poste;58 RUE DE SURESNES;;;92000;92;NANTERRE;FRANCE;48.885092, 2.211898;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui
17107A;BOULOGNE BILLANCOURT JAURES;Bureau de poste;7 BOULEVARD JEAN JAURES;;;92100;92;BOULOGNE BILLANCOURT;FRANCE;48.844493, 2.237528;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
17134A;CLICHY VICTOR HUGO BP;Bureau de poste;25 BOULEVARD DU GENERAL LECLERC;;;92110;92;CLICHY;FRANCE;48.900398, 2.315967;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17138A;COLOMBES GAGARINE BP;Bureau de poste;58 RUE YOURI GAGARINE;;;92700;92;COLOMBES;FRANCE;48.925392, 2.243388;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
17140A;ISSY LES MOULINEAUX CORENTIN;Bureau de poste;4 PASSAGE NICOLAS STENON;;;92130;92;ISSY LES MOULINEAUX;FRANCE;48.827894, 2.279787;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17141A;SCEAUX BLAGIS BP;Bureau de poste;49 RUE DE BAGNEUX;;;92330;92;SCEAUX;FRANCE;48.784195, 2.30244;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
17145A;MALAKOFF HENRI BARBUSSE BP;Bureau de poste;29 BOULEVARD DE STALINGRAD;;;92240;92;MALAKOFF;FRANCE;48.813894, 2.286498;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
17146A;COURBEVOIE ABREUVOIR;Bureau de poste;10 RUE DE L ABREUVOIR;;;92400;92;COURBEVOIE;FRANCE;48.891591, 2.254556;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
17168A;ANTONY LECLERC;Bureau de poste;179 AV DE LA DIVISION LECLERC;;;92160;92;ANTONY;FRANCE;48.739892, 2.30251;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
17173A;LA DEFENSE CNIT;Bureau de poste;LE CNIT;LA DEFENSE;;92800;92;PUTEAUX;FRANCE;48.892677, 2.240216;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non
17189A;LA COURNEUVE PRINCIPAL;Bureau de poste;54 AVENUE GABRIEL PERI;;;93120;93;LA COURNEUVE;FRANCE;48.926297, 2.391118;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17191A;DUGNY BP;Bureau de poste;25 AVENUE LOUIS LARIVIERE;;;93440;93;DUGNY;FRANCE;48.953999, 2.415696;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
17200A;NEUILLY PLAISANCE PRINCIPAL;Bureau de poste;45 RUE DU GENERAL DE GAULLE;;;93360;93;NEUILLY PLAISANCE;FRANCE;48.863098, 2.506948;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
17202A;NOISY LE GRAND PRINCIPAL;Bureau de poste;1 AVENUE EMILE COSSONNEAU;;;93160;93;NOISY LE GRAND;FRANCE;48.848895, 2.55289;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
17211A;ROMAINVILLE;Bureau de poste;31 RUE DE LA REPUBLIQUE;;;93230;93;ROMAINVILLE;FRANCE;48.882399, 2.439871;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17213A;SAINT DENIS PRINCIPAL;Bureau de poste;12 RUE AUGUSTE GILLOT;;;93200;93;SAINT DENIS;FRANCE;48.940193, 2.354217;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17224A;AUBERVILLIERS QUATRE CHEMINS BP;Bureau de poste;2 RUE ERNEST PREVOST;;;93300;93;AUBERVILLIERS;FRANCE;48.902491, 2.388885;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
17234A;MONTREUIL ERMITAGE;Bureau de poste;10 AVENUE PAUL SIGNAC;;;93100;93;MONTREUIL;FRANCE;48.868394, 2.452349;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui
17243A;MONTREUIL LA NOUE VILLIERS BP;Bureau de poste;15 PLACE DU GENERAL DE GAULLE;;;93100;93;MONTREUIL;FRANCE;48.868591, 2.4328;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17247A;EPINAY OBELISQUE BP;Bureau de poste;38 RUE FELIX MERLIN;OBELISQUE;;93800;93;EPINAY SUR SEINE;FRANCE;48.955798, 2.298;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
17260A;DRANCY AVENIR BP;Bureau de poste;60 RUE SAINT STENAY;CENTRE COMMERCIAL AVENIR;;93700;93;DRANCY;FRANCE;48.919, 2.421698;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17273A;TREMBLAY EN FRANCE PASTEUR BP;Bureau de poste;16 AVENUE PASTEUR;;;93290;93;TREMBLAY EN FRANCE;FRANCE;48.942191, 2.572147;Géocodé au numéro;3631;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17282A;SAINT DENIS REPUBLIQUE;Bureau de poste;59 RUE DE LA REPUBLIQUE;;;93200;93;ST DENIS;FRANCE;48.936392, 2.354025;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
17294A;ARCUEIL;Bureau de poste;75 RUE MARIUS SIDOBRE;;;94110;94;ARCUEIL;FRANCE;48.804198, 2.332796;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
17296A;BONNEUIL SUR MARNE BP;Bureau de poste;11 RUE D ESTIENNE D ORVES;;;94380;94;BONNEUIL SUR MARNE;FRANCE;48.774495, 2.48766;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17302A;CHEVILLY LARUE;Bureau de poste;RUE DE PROVENCE;ZAC COEUR DE VILLE;;94550;94;CHEVILLY LARUE;FRANCE;48.7721, 2.359288;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17311A;L HAY LES ROSES;Bureau de poste;RUE WATEL;;;94240;94;L HAY LES ROSES;FRANCE;48.777692, 2.335818;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17317A;VILLEJUIF MARRONNIERS;Bureau de poste;137 RUE JEAN JAURES;ZAC DES MARRONNIERS;;94800;94;VILLEJUIF;FRANCE;48.7902, 2.366927;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17319A;MANDRES LES ROSES BP;Bureau de poste;28 RUE DU GENERAL LECLERC;;;94520;94;MANDRES LES ROSES;FRANCE;48.7009, 2.541221;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui
17326A;LE PLESSIS TREVISE;Bureau de poste;27 AVENUE ARDOUIN;;;94420;94;LE PLESSIS TREVISE;FRANCE;48.807994, 2.575376;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
17329A;SAINT MANDE;Bureau de poste;6 RUE JEANNE D ARC;;;94160;94;ST MANDE;FRANCE;48.840597, 2.417948;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui
17335A;VALENTON;Bureau de poste;30 B RUE DU COLONEL FABIEN;;;94460;94;VALENTON;FRANCE;48.745999, 2.468346;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui
17337A;VILLEJUIF PRINCIPAL;Bureau de poste;21 AV PAUL VAILLANT COUTURIER;;;94800;94;VILLEJUIF;FRANCE;48.794695, 2.363909;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui
17339A;VILLENEUVE ST GEORGES PRINCIPAL;Bureau de poste;11 RUE HENRI LEDUC;;;94190;94;VILLENEUVE ST GEORGES;FRANCE;48.731998, 2.44782;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui
17341A;VINCENNES PRINCIPAL;Bureau de poste;18 AVENUE DU CHATEAU;;;94300;94;VINCENNES;FRANCE;48.846497, 2.436749;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui
17356A;JOINVILLE POLANGIS;Bureau de poste;48 AVENUE DU GENERAL GALLIENI;;;94340;94;JOINVILLE LE PONT;FRANCE;48.819895, 2.479408;Géocodé au numéro;3631;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17365A;VINCENNES PREVOYANCE;Bureau de poste;27 B RUE DES LAITIERES;;;94300;94;VINCENNES;FRANCE;48.847694, 2.423406;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17370A;FONTENAY JOFFRE BP;Bureau de poste;1 AVENUE DU MARECHAL JOFFRE;;;94120;94;FONTENAY SOUS BOIS;FRANCE;48.853896, 2.470308;Géocodé au numéro;3631;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17376A;VITRY MOULIN VERT;Bureau de poste;11 RUE GERARD PHILIPE;;;94400;94;VITRY SUR SEINE;FRANCE;48.775196, 2.377838;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14320A;PARIS TELEGRAPHE;Bureau de poste;28 RUE DU TELEGRAPHE;;;75020;75;PARIS;FRANCE;48.872792, 2.399387;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14324A;PARIS PARC DE LA VILLETTE;Bureau de poste;3 AV DU NOUVEAU CONSERVATOIRE;;;75019;75;PARIS;FRANCE;48.888399, 2.390438;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14327A;PARIS BIENVENUE;Bureau de poste;42 BOULEVARD DE VAUGIRARD;;;75015;75;PARIS;FRANCE;48.841297, 2.316917;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui
14334A;PARIS EUROPE BP;Bureau de poste;10 RUE DE VIENNE;;;75008;75;PARIS;FRANCE;48.876897, 2.321767;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14338A;PARIS SAINT LAURENT;Bureau de poste;38 BOULEVARD DE STRASBOURG;;;75010;75;PARIS;FRANCE;48.872394, 2.355979;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
14341A;PARIS CHATELET;Bureau de poste;27 RUE LAVANDIERES STE OPPORTUNE;;;75001;75;PARIS;FRANCE;48.859399, 2.346835;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
14345A;PARIS PLACE DES FETES;Bureau de poste;48 RUE COMPANS;;;75019;75;PARIS;FRANCE;48.877595, 2.393697;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui
14347A;PARIS ANJOU;Bureau de poste;13 RUE D ANJOU;;;75008;75;PARIS;FRANCE;48.870193, 2.320857;Géocodé au numéro;3631;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui
14349A;PARIS CANAL SAINT MARTIN;Bureau de poste;11 RUE LEON JOUHAUX;;;75010;75;PARIS;FRANCE;48.869597, 2.365719;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14350A;PARIS PALAIS DU LUXEMBOURG;Bureau de poste;15 RUE DE VAUGIRARD;;;75006;75;PARIS;FRANCE;48.849199, 2.337695;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14355A;PARIS SOULT;Bureau de poste;137 BOULEVARD SOULT;;;75012;75;PARIS;FRANCE;48.8463, 2.410808;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14357A;PARIS PALAIS D'IENA;Bureau de poste;9 PLACE D IENA;;;75116;75;PARIS;FRANCE;48.864497, 2.293355;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14362A;PARIS GOUVION SAINT CYR;Bureau de poste;79 RUE BAYEN;;;75017;75;PARIS;FRANCE;48.884097, 2.289277;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14385A;PARIS CITE UNIVERSITAIRE BP;Bureau de poste;19 BOULEVARD JOURDAN;;;75014;75;PARIS;FRANCE;48.820097, 2.33911;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
14386A;PARIS DUPLEIX;Bureau de poste;27 RUE DESAIX;;;75015;75;PARIS;FRANCE;48.851896, 2.292085;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14387A;PARIS BEETHOVEN BP;Bureau de poste;2 RUE BEETHOVEN;;;75016;75;PARIS;FRANCE;48.857997, 2.287817;Géocodé au numéro;3631;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
14645A;ANNET SUR MARNE BP;Bureau de poste;28 RUE PAUL VALENTIN;;;77410;77;ANNET SUR MARNE;FRANCE;48.925828, 2.720256;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non
