identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
14264A;PARIS MONCEAU;Bureau de poste;101 BOULEVARD MALESHERBES;;;75008;75;PARIS;FRANCE;48.879296, 2.314259;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui
14278A;PARIS DROUOT BP;Bureau de poste;19 RUE CHAUCHAT;;;75009;75;PARIS;FRANCE;48.874094, 2.339671;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14290A;PARIS LOURMEL BP;Bureau de poste;38 RUE DE LOURMEL;;;75015;75;PARIS;FRANCE;48.848192, 2.290087;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14295A;PARIS VOUILLE /GEORGES BRASSENS;Bureau de poste;21 RUE DE VOUILLE;;;75015;75;PARIS;FRANCE;48.834797, 2.304898;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14304A;PARIS MONTEVIDEO BP;Bureau de poste;19 RUE DE MONTEVIDEO;;;75116;75;PARIS;FRANCE;48.867194, 2.27409;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14317A;PARIS SORBONNE BP;Bureau de poste;13 RUE CUJAS;;;75005;75;PARIS;FRANCE;48.847599, 2.34287;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14322A;PARIS OPERA BP;Bureau de poste;8 RUE AUBER;;;75009;75;PARIS;FRANCE;48.872494, 2.329426;Géocodé au numéro;3631;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14326A;PARIS BUTTE AUX CAILLES;Bureau de poste;216 RUE DE TOLBIAC;;;75013;75;PARIS;FRANCE;48.825894, 2.345985;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14328A;PARIS SAINTONGE BP;Bureau de poste;64 RUE DE SAINTONGE;;;75003;75;PARIS;FRANCE;48.864097, 2.365008;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
14329A;PARIS DEBUSSY;Bureau de poste;23 B RUE LEGENDRE;;;75017;75;PARIS;FRANCE;48.883897, 2.313698;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
